
/start data
{'msec': 2180.000000, 'rpm': 2142.000000, 'set_rpm': 3600.000000},
{'msec': 2190.000000, 'rpm': 2169.600098, 'set_rpm': 3600.000000},
{'msec': 2200.000000, 'rpm': 2166.000000, 'set_rpm': 3600.000000},
{'msec': 2210.000000, 'rpm': 2197.199951, 'set_rpm': 3600.000000},
{'msec': 2220.000000, 'rpm': 2131.199951, 'set_rpm': 3600.000000},
{'msec': 2230.000000, 'rpm': 2217.600098, 'set_rpm': 3600.000000},
{'msec': 2240.000000, 'rpm': 2281.199951, 'set_rpm': 3600.000000},
{'msec': 2250.000000, 'rpm': 2223.600098, 'set_rpm': 3600.000000},
{'msec': 2260.000000, 'rpm': 2241.600098, 'set_rpm': 3600.000000},
{'msec': 2270.000000, 'rpm': 2298.000000, 'set_rpm': 3600.000000},
{'msec': 2280.000000, 'rpm': 2288.399902, 'set_rpm': 3600.000000},
{'msec': 2290.000000, 'rpm': 2332.800049, 'set_rpm': 3600.000000},
{'msec': 2300.000000, 'rpm': 2294.399902, 'set_rpm': 3600.000000},
{'msec': 2310.000000, 'rpm': 2355.600098, 'set_rpm': 3600.000000},
{'msec': 2320.000000, 'rpm': 2350.800049, 'set_rpm': 3600.000000},
{'msec': 2330.000000, 'rpm': 2347.199951, 'set_rpm': 3600.000000},
{'msec': 2340.000000, 'rpm': 2452.800049, 'set_rpm': 3600.000000},
{'msec': 2350.000000, 'rpm': 2359.199951, 'set_rpm': 3600.000000},
{'msec': 2360.000000, 'rpm': 2404.800049, 'set_rpm': 3600.000000},
{'msec': 2370.000000, 'rpm': 2415.600098, 'set_rpm': 3600.000000},
{'msec': 2380.000000, 'rpm': 2426.399902, 'set_rpm': 3600.000000},
{'msec': 2390.000000, 'rpm': 2468.399902, 'set_rpm': 3600.000000},
{'msec': 2400.000000, 'rpm': 2398.800049, 'set_rpm': 3600.000000},
{'msec': 2410.000000, 'rpm': 2449.199951, 'set_rpm': 3600.000000},
{'msec': 2420.000000, 'rpm': 2491.199951, 'set_rpm': 3600.000000},
{'msec': 2430.000000, 'rpm': 2436.000000, 'set_rpm': 3600.000000},
{'msec': 2440.000000, 'rpm': 2528.399902, 'set_rpm': 3600.000000},
{'msec': 2450.000000, 'rpm': 2475.600098, 'set_rpm': 3600.000000},
{'msec': 2460.000000, 'rpm': 2546.399902, 'set_rpm': 3600.000000},
{'msec': 2470.000000, 'rpm': 2546.399902, 'set_rpm': 3600.000000},
{'msec': 2480.000000, 'rpm': 2539.199951, 'set_rpm': 3600.000000},
{'msec': 2490.000000, 'rpm': 2598.000000, 'set_rpm': 3600.000000},
{'msec': 2500.000000, 'rpm': 2509.199951, 'set_rpm': 3600.000000},
{'msec': 2510.000000, 'rpm': 2643.600098, 'set_rpm': 3600.000000},
{'msec': 2520.000000, 'rpm': 2535.600098, 'set_rpm': 3600.000000},
{'msec': 2530.000000, 'rpm': 2613.600098, 'set_rpm': 3600.000000},
{'msec': 2540.000000, 'rpm': 2598.000000, 'set_rpm': 3600.000000},
{'msec': 2550.000000, 'rpm': 2606.399902, 'set_rpm': 3600.000000},
{'msec': 2560.000000, 'rpm': 2598.000000, 'set_rpm': 3600.000000},
{'msec': 2570.000000, 'rpm': 2607.600098, 'set_rpm': 3600.000000},
{'msec': 2580.000000, 'rpm': 2638.800049, 'set_rpm': 3600.000000},
{'msec': 2590.000000, 'rpm': 2590.800049, 'set_rpm': 3600.000000},
{'msec': 2600.000000, 'rpm': 2695.199951, 'set_rpm': 3600.000000},
{'msec': 2610.000000, 'rpm': 2660.399902, 'set_rpm': 3600.000000},
{'msec': 2620.000000, 'rpm': 2672.399902, 'set_rpm': 3600.000000},
{'msec': 2630.000000, 'rpm': 2712.000000, 'set_rpm': 3600.000000},
{'msec': 2640.000000, 'rpm': 2667.600098, 'set_rpm': 3600.000000},
{'msec': 2650.000000, 'rpm': 2714.399902, 'set_rpm': 3600.000000},
{'msec': 2660.000000, 'rpm': 2658.000000, 'set_rpm': 3600.000000},
{'msec': 2670.000000, 'rpm': 2755.199951, 'set_rpm': 3600.000000},
{'msec': 2680.000000, 'rpm': 2678.399902, 'set_rpm': 3600.000000},
{'msec': 2690.000000, 'rpm': 2794.800049, 'set_rpm': 3600.000000},
{'msec': 2700.000000, 'rpm': 2690.399902, 'set_rpm': 3600.000000},
{'msec': 2710.000000, 'rpm': 2794.800049, 'set_rpm': 3600.000000},
{'msec': 2720.000000, 'rpm': 2728.800049, 'set_rpm': 3600.000000},
{'msec': 2730.000000, 'rpm': 2775.600098, 'set_rpm': 3600.000000},
{'msec': 2740.000000, 'rpm': 2784.000000, 'set_rpm': 3600.000000},
{'msec': 2750.000000, 'rpm': 2781.600098, 'set_rpm': 3600.000000},
{'msec': 2760.000000, 'rpm': 2773.199951, 'set_rpm': 3600.000000},
{'msec': 2770.000000, 'rpm': 2770.800049, 'set_rpm': 3600.000000},
{'msec': 2780.000000, 'rpm': 2841.600098, 'set_rpm': 3600.000000},
